SOC [-],OCV [V]
0.485673,3.663299076862745
0.486487,3.663939076862745
0.487301,3.664579076862745
0.488119,3.664579076862745
0.488938,3.665229076862745
0.489757,3.666509076862745
0.490571,3.666509076862745
0.49139,3.667159076862745
0.492204,3.667799076862745
0.493022,3.668439076862745
0.493841,3.669089076862745
0.494655,3.669729076862745
0.495474,3.670369076862745
0.496288,3.671019076862745
0.497102,3.671659076862745
0.497916,3.672299076862745
0.498735,3.672949076862745
0.499553,3.673589076862745
0.500372,3.674229076862745
0.501191,3.674879076862745
0.50201,3.675519076862745
0.502824,3.676159076862745
0.503642,3.676809076862745
0.504456,3.677449076862745
0.505271,3.678089076862745
0.506085,3.678739076862745
0.506899,3.679379076862745
0.507713,3.6800190768627448
0.508527,3.680669076862745
0.509345,3.681309076862745
0.51016,3.681949076862745
0.510978,3.682599076862745
0.511792,3.6838790768627447
0.512611,3.684529076862745
0.513425,3.6851690768627448
0.514239,3.685809076862745
0.515053,3.6864590768627448
0.515867,3.687099076862745
0.516681,3.687739076862745
0.5175,3.688389076862745
0.518319,3.689669076862745
0.519138,3.6903190768627447
0.519956,3.6903190768627447
0.52077,3.6916090768627448
0.521584,3.692249076862745
0.522398,3.692889076862745
0.523212,3.693539076862745
0.524031,3.694819076862745
0.52485,3.6954690768627447
0.525664,3.696109076862745
0.526478,3.696749076862745
0.527292,3.697399076862745
0.528106,3.698039076862745
0.52892,3.699329076862745
0.529734,3.699969076862745
0.530548,3.700609076862745
0.531367,3.701899076862745
0.532186,3.702539076862745
0.533,3.703189076862745
0.533814,3.704469076862745
0.534628,3.705119076862745
0.535447,3.705759076862745
0.536261,3.707049076862745
0.53708,3.707689076862745
0.537898,3.708329076862745
0.538712,3.709619076862745
0.539531,3.710259076862745
0.54035,3.710909076862745
0.541168,3.712189076862745
0.541982,3.712839076862745
0.542801,3.714119076862745
0.54362,3.714769076862745
0.544439,3.716049076862745
0.545253,3.716699076862745
0.546071,3.7179790768627448
0.546885,3.718629076862745
0.547699,3.719909076862745
0.548518,3.720559076862745
0.549332,3.7218390768627447
0.550151,3.722489076862745
0.550965,3.723769076862745
0.551784,3.7244190768627448
0.552598,3.725699076862745
0.553416,3.726349076862745
0.554235,3.727629076862745
0.555054,3.728919076862745
0.555873,3.729559076862745
0.556687,3.730849076862745
0.557501,3.731489076862745
0.558319,3.732779076862745
0.559133,3.733419076862745
0.559952,3.734709076862745
0.560771,3.735349076862745
0.56159,3.736639076862745
0.562404,3.737279076862745
0.563218,3.738569076862745
0.564032,3.739209076862745
0.56485,3.740499076862745
0.565664,3.741139076862745
0.566483,3.742429076862745
0.567297,3.743069076862745
0.568116,3.744359076862745
0.568935,3.744999076862745
0.569749,3.746289076862745
0.570563,3.746929076862745
0.571377,3.748219076862745
0.572191,3.748859076862745
0.57301,3.750149076862745
0.573828,3.7507890768627448
0.574642,3.7520790768627448
0.575457,3.752719076862745
0.576275,3.753369076862745
0.577094,3.7546490768627447
0.577908,3.755299076862745
0.578727,3.756579076862745
0.579545,3.7572290768627448
0.580364,3.758519076862745
0.581178,3.759159076862745
0.581992,3.7597990768627447
0.582811,3.760449076862745
0.583625,3.761729076862745
0.584444,3.7623790768627448
0.585262,3.763019076862745
0.586076,3.764309076862745
0.58689,3.764949076862745
0.587709,3.7662390768627447
0.588528,3.766879076862745
0.589347,3.767519076862745
0.590165,3.768809076862745
0.590984,3.769449076862745
0.591798,3.770099076862745
0.592612,3.770739076862745
0.593426,3.772029076862745
0.59424,3.772669076862745
0.595054,3.773309076862745
0.595873,3.773959076862745
0.596687,3.775239076862745
0.597501,3.775889076862745
0.598315,3.776529076862745
0.599134,3.777819076862745
0.599948,3.778459076862745
0.600767,3.779099076862745
0.601586,3.780389076862745
0.602404,3.781029076862745
0.603218,3.781679076862745
0.604037,3.782319076862745
0.604851,3.782959076862745
0.605665,3.783609076862745
0.606484,3.784249076862745
0.607298,3.785539076862745
0.608112,3.786179076862745
0.608931,3.786819076862745
0.609749,3.788109076862745
0.610563,3.7887490768627448
0.611377,3.789399076862745
0.612196,3.790679076862745
0.61301,3.791329076862745
0.613824,3.791969076862745
0.614638,3.7926090768627447
0.615453,3.793259076862745
0.616266,3.7938990768627447
0.617085,3.794539076862745
0.617904,3.795829076862745
0.618718,3.796469076862745
0.619537,3.797119076862745
0.620355,3.797759076862745
0.621169,3.7990490768627447
0.621988,3.799689076862745
0.622807,3.800329076862745
0.623626,3.800979076862745
0.624444,3.801619076862745
0.625263,3.802259076862745
0.626077,3.802909076862745
0.626896,3.804189076862745
0.627714,3.804839076862745
0.628528,3.805479076862745
0.629347,3.806119076862745
0.630166,3.806769076862745
0.630984,3.807409076862745
0.631799,3.808699076862745
0.632613,3.809339076862745
0.633431,3.809979076862745
0.634246,3.810629076862745
0.635064,3.811269076862745
0.635883,3.811909076862745
0.636697,3.813199076862745
0.637511,3.813839076862745
0.63833,3.814489076862745
0.639148,3.815129076862745
